Model,MSE,MAE,Transfer MSE,Transfer MAE
Linear,0.26766532567050333,0.39883124075258003,111.46207580163284,8.771817050119687
SVR,0.2712731310302574,0.36969031200670416,0.31512605800632365,0.3780038036365845
NDP,0.8291436433792114,0.736290454864502,0.9266363978385925,0.8256261348724365
